dataset,condition,model_tier,n,EX,CI_low,CI_high
D1,C1,WEAK,1034,0.7466,0.7205,0.7727
D1,C1,MID,1034,0.7573,0.7302,0.7824
D1,C1,STRONG,1034,0.7785,0.7524,0.8046
D1,C2,WEAK,1034,0.7311,0.7041,0.7573
D1,C2,MID,1034,0.7495,0.7224,0.7756
D1,C2,STRONG,1034,0.7785,0.7534,0.8037
D1,C3,WEAK,1034,0.706,0.6789,0.734
D1,C3,MID,1034,0.7215,0.6925,0.7485
D1,C3,STRONG,1034,0.7427,0.7157,0.7698
D1,C4,WEAK,1034,0.7437,0.7176,0.7698
D1,C4,MID,1034,0.7611,0.735,0.7872
D1,C4,STRONG,1034,0.7776,0.7515,0.8037
D1,C5_L1,WEAK,1034,0.7418,0.7147,0.7679
D1,C5_L1,MID,1034,0.7631,0.7369,0.7882
D1,C5_L1,STRONG,1034,0.7776,0.7515,0.8017
D1,C5_L2,WEAK,1034,0.6721,0.6431,0.7012
D1,C5_L2,MID,1034,0.6973,0.6683,0.7244
D1,C5_L2,STRONG,1034,0.7176,0.6905,0.7466
D1,C5_L3,WEAK,1034,0.4497,0.4197,0.4807
D1,C5_L3,MID,1034,0.4855,0.4555,0.5155
D1,C5_L3,STRONG,1034,0.5222,0.4923,0.5532
D2,C1,WEAK,498,0.4438,0.3996,0.488
D2,C1,MID,498,0.5181,0.4739,0.5622
D2,C1,STRONG,498,0.5281,0.4839,0.5723
D2,C2,WEAK,498,0.3755,0.3333,0.4177
D2,C2,MID,498,0.4398,0.3976,0.4819
D2,C2,STRONG,498,0.4418,0.3976,0.4859
D2,C3,WEAK,498,0.4317,0.3876,0.4759
D2,C3,MID,498,0.504,0.4598,0.5482
D2,C3,STRONG,498,0.5341,0.492,0.5783
D2,C4,WEAK,498,0.4438,0.3996,0.488
D2,C4,MID,498,0.5,0.4558,0.5442
D2,C4,STRONG,498,0.5321,0.488,0.5743
D2,C5_L1,WEAK,498,0.3976,0.3554,0.4418
D2,C5_L1,MID,498,0.4558,0.4116,0.5
D2,C5_L1,STRONG,498,0.5141,0.4699,0.5582
D2,C5_L2,WEAK,498,0.3956,0.3534,0.4398
D2,C5_L2,MID,498,0.4558,0.4137,0.5
D2,C5_L2,STRONG,498,0.504,0.4618,0.5462
D2,C5_L3,WEAK,498,0.3514,0.3112,0.3916
D2,C5_L3,MID,498,0.3976,0.3554,0.4398
D2,C5_L3,STRONG,498,0.4719,0.4277,0.5161
D2_fin,C1,WEAK,32,0.3438,0.1875,0.5
D2_fin,C1,MID,32,0.4688,0.3125,0.625
D2_fin,C1,STRONG,32,0.3438,0.1875,0.5
D2_fin,C4,WEAK,32,0.3125,0.1562,0.4688
D2_fin,C4,MID,32,0.4062,0.25,0.5625
D2_fin,C4,STRONG,32,0.3438,0.1875,0.5
D2_fin,C5_L1,WEAK,32,0.3438,0.1875,0.5
D2_fin,C5_L1,MID,32,0.375,0.2188,0.5312
D2_fin,C5_L1,STRONG,32,0.4062,0.25,0.5625
D2_fin,C5_L2,WEAK,32,0.1875,0.0625,0.3438
D2_fin,C5_L2,MID,32,0.3125,0.1562,0.4688
D2_fin,C5_L2,STRONG,32,0.3125,0.1562,0.4688
