dataset,model_tier,condition,n,EX,col_recall,col_precision,tbl_recall,ctx_tokens,strength
D1,MID,C4,1034,0.7611,0.9212,0.1624,1.0,371.6925,0
D1,MID,C5_L1,1034,0.7631,0.9208,0.1641,1.0,363.5899,1
D1,MID,C5_L2,1034,0.6973,0.836,0.2898,0.9114,175.2166,2
D1,MID,C5_L3,1034,0.4855,0.6303,0.4419,0.9114,105.589,3
D1,STRONG,C4,1034,0.7776,0.9212,0.1624,1.0,371.6925,0
D1,STRONG,C5_L1,1034,0.7776,0.9208,0.1641,1.0,363.5899,1
D1,STRONG,C5_L2,1034,0.7176,0.836,0.2898,0.9114,175.2166,2
D1,STRONG,C5_L3,1034,0.5222,0.6303,0.4419,0.9114,105.589,3
D1,WEAK,C4,1034,0.7437,0.9212,0.1624,1.0,371.6925,0
D1,WEAK,C5_L1,1034,0.7418,0.9208,0.1641,1.0,363.5899,1
D1,WEAK,C5_L2,1034,0.6721,0.836,0.2898,0.9114,175.2166,2
D1,WEAK,C5_L3,1034,0.4497,0.6303,0.4419,0.9114,105.589,3
D2,MID,C4,500,0.5,0.9704,0.1265,0.9953,2756.34,0
D2,MID,C5_L1,500,0.4558,0.868,0.1606,0.9953,1007.108,1
D2,MID,C5_L2,500,0.4558,0.9211,0.2632,0.9565,590.212,2
D2,MID,C5_L3,500,0.3976,0.8761,0.3991,0.9565,385.544,3
D2,STRONG,C4,500,0.5321,0.9704,0.1265,0.9953,2756.34,0
D2,STRONG,C5_L1,500,0.5141,0.868,0.1606,0.9953,1007.108,1
D2,STRONG,C5_L2,500,0.504,0.9211,0.2632,0.9565,590.212,2
D2,STRONG,C5_L3,500,0.4719,0.8761,0.3991,0.9565,385.544,3
D2,WEAK,C4,500,0.4438,0.9704,0.1265,0.9953,2756.34,0
D2,WEAK,C5_L1,500,0.3976,0.868,0.1606,0.9953,1007.108,1
D2,WEAK,C5_L2,500,0.3956,0.9211,0.2632,0.9565,590.212,2
D2,WEAK,C5_L3,500,0.3514,0.8761,0.3991,0.9565,385.544,3
D2_fin,MID,C4,32,0.4062,0.9494,0.1469,1.0,671.3438,0
D2_fin,MID,C5_L1,32,0.375,0.8714,0.1715,1.0,588.875,1
D2_fin,MID,C5_L2,32,0.3125,0.8852,0.2899,0.9297,328.75,2
D2_fin,STRONG,C4,32,0.3438,0.9494,0.1469,1.0,671.3438,0
D2_fin,STRONG,C5_L1,32,0.4062,0.8714,0.1715,1.0,588.875,1
D2_fin,STRONG,C5_L2,32,0.3125,0.8852,0.2899,0.9297,328.75,2
D2_fin,WEAK,C4,32,0.3125,0.9494,0.1469,1.0,671.3438,0
D2_fin,WEAK,C5_L1,32,0.3438,0.8714,0.1715,1.0,588.875,1
D2_fin,WEAK,C5_L2,32,0.1875,0.8852,0.2899,0.9297,328.75,2
