dataset,model_tier,n_pairs,C1_only_correct,C4_only_correct,EX_C1,EX_C4,delta_EX,p_value
D1,MID,1034,5,9,0.7573,0.7611,0.0039,0.424
D1,STRONG,1034,6,5,0.7785,0.7776,-0.001,1.0
D1,WEAK,1034,8,5,0.7466,0.7437,-0.0029,0.5811
D2,MID,498,18,9,0.5181,0.5,-0.0181,0.1221
D2,STRONG,498,8,10,0.5281,0.5321,0.004,0.8145
D2,WEAK,498,14,14,0.4438,0.4438,0.0,1.0
